Substance name,EC / List no,CAS no,Status,Submitter,Regulatory programme,Latest update,Link ID,Details
Trifluoroacetic acid,200-929-3,76-05-1,Consultation,Germany,Chemical registered under REACH,03-juin-2025,0b0236e18ba5a67b,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18ba5a67b"" target=""_blank"">Details</a>"
Sulphuryl difluoride,220-281-5,2699-79-8,Submitted,Austria,Active substance in Plant Protection Products,03-juin-2025,0b0236e188e8d4b8,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e188e8d4b8"" target=""_blank"">Details</a>"
sodium trifluoroacetate and other inorganic salts of trifluoroacetic acid  show/hide  Sodium trifluoroacetate  EC / List no: 220-879-6  | CAS no: 2923-18-4,-,-,Consultation,Germany,Chemical registered under REACH,03-juin-2025,0b0236e1831f20e6,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1831f20e6"" target=""_blank"">Details</a>"
Silver nitrate,231-853-9,7761-88-8,Opinion Adopted,Sweden,Active substance in Biocidal Products,03-juin-2025,0b0236e1809d3513,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1809d3513"" target=""_blank"">Details</a>"
Silicon dioxide,231-545-4,7631-86-9,Opinion Adopted,Netherlands,Chemical registered under REACH Active substance in Biocidal Products,03-juin-2025,0b0236e1877f5d68,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1877f5d68"" target=""_blank"">Details</a>"
"Reaction products of diphenylamine with nonene, branched",701-385-4,-,Opinion Adopted,France,Chemical registered under REACH,03-juin-2025,0b0236e1890b0fce,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1890b0fce"" target=""_blank"">Details</a>"
"p-(2,3-epoxypropoxy)-N,N-bis(2,3-epoxypropyl)aniline",225-716-2,5026-74-4,Intention,Denmark,Chemical registered under REACH,03-juin-2025,0b0236e1885a4e64,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e1885a4e64"" target=""_blank"">Details</a>"
O-isopropyl ethylthiocarbamate,205-517-7,141-98-0,Opinion Adopted,Ireland,Chemical registered under REACH,03-juin-2025,0b0236e182fd56df,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e182fd56df"" target=""_blank"">Details</a>"
Nitromethane,200-876-6,75-52-5,Opinion Adopted,Belgium,Chemical registered under REACH,03-juin-2025,0b0236e182fd422a,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e182fd422a"" target=""_blank"">Details</a>"
Nitroethane,201-188-9,79-24-3,Opinion Adopted,Belgium,Chemical registered under REACH,03-juin-2025,0b0236e18a14ce16,"<a href=""https://echa.europa.eu/registry-of-clh-intentions-until-outcome/-/dislist/details/0b0236e18a14ce16"" target=""_blank"">Details</a>"
